Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8366074,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""0099511665""","=""9780099511663""",5,4.13,Vintage Classics,Paperback,324,2010,1985,2021/04/14,2021/03/24,,,read,,,,1,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",5,4.25,Small Beer Press,ebook,281,2010,2002,2021/03/20,2021/02/23,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",3,4.25,Ace Books,Hardcover,658,2019,1965,2021/02/08,2020/12/27,,,read,,,,1,0
20613671,Economics: The User's Guide,Ha-Joon Chang,"Chang, Ha-Joon",,"=""1620408120""","=""9781620408124""",0,4.17,Bloomsbury Press,Hardcover,384,2014,2014,,2020/11/11,on-hold,on-hold (#4),on-hold,,,,0,0
55054087,"Otoño (Cuarteto estacional, #1)",Ali Smith,"Smith, Ali",Magdalena Palmer,"=""""","=""9788418067969""",0,3.69,Nórdica,Paperback,228,2020,2016,,2021/01/11,to-read,to-read (#15),to-read,,,,0,0
56073728,"Gente de aquí, gente de allí",Quan Zhou Wu,"Wu, Quan Zhou",,"=""8418215135""","=""9788418215131""",0,4.17,Astiberri,Paperback,200,2021,2020,,2021/01/11,to-read,to-read (#14),to-read,,,,0,0
16685268,Social Acceleration: A New Theory of Modernity,Hartmut Rosa,"Rosa, Hartmut",,"=""0231148348""","=""9780231148344""",0,4.39,Columbia University Press,Hardcover,512,2013,2005,,2021/01/09,to-read,to-read (#13),to-read,,,,0,0
2725,Illuminations: Essays and Reflections,Walter Benjamin,"Benjamin, Walter","Hannah Arendt, Harry Zohn, Leon Wieseltier","=""0805202412""","=""9780805202410""",0,4.30,Schocken,Paperback,288,1969,1955,,2020/12/17,to-read,to-read (#12),to-read,,,,0,0
31842429,Patria,Fernando Aramburu,"Aramburu, Fernando",Willi Zurbrüggen,"=""""","=""""",5,4.39,Tusquets,Kindle Edition,889,2016,2016,2020/12/09,2020/11/01,,,read,,,,1,0
36119162,Cómo concebir el urbanismo,Le Corbusier,"Corbusier, Le",,"=""""","=""9789879393116""",0,4.17,,Paperback,214,,,,2020/11/27,"to-read, urbanismo","to-read (#11), urbanismo (#2)",to-read,,,,0,0
44451608,"Better Buses, Better Cities: How to Plan, Run, and Win the Fight for Effective Transit",Steven Higashide,"Higashide, Steven",,"=""1642830143""","=""9781642830149""",0,4.27,Island Press,Paperback,184,2019,,,2020/11/27,"urbanismo, to-read","urbanismo (#1), to-read (#10)",to-read,,,,0,0
22245334,"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,"Graeber, David",,"=""1612193749""","=""9781612193748""",0,4.01,Melville House,Hardcover,261,2015,2013,,2020/11/21,to-read,to-read (#9),to-read,,,,0,0
24479142,El desmoronamiento: Una crónica íntima de la nueva América,George Packer,"Packer, George",,"=""8499924697""","=""9788499924694""",0,4.13,Debate,Paperback,528,2015,2013,,2020/11/06,to-read,to-read (#7),to-read,,,,0,0
8852,Macbeth,William Shakespeare,"Shakespeare, William",,"=""0743477103""","=""9780743477109""",4,3.90,Simon & Schuster,Mass Market Paperback,249,2013,1623,,2020/11/02,,,read,,,,1,0
223438,Crow: From The Life And Songs Of The Crow,Ted Hughes,"Hughes, Ted",,"=""0571202357""","=""9780571202355""",0,4.07,Faber and Faber,Paperback,96,1999,1970,,2020/05/04,on-hold,on-hold (#3),on-hold,,,,0,0
